,MSE,MAE,R2,Directional_Accuracy
ARIMA,2.6500715863231334e-05,0.004344507169938161,-5.3444814202759465,0.7647058823529411
Random Forest,3.9564720799107546e-07,0.0004476093813994348,0.9052789225378549,0.9705882352941176
XGBoost,7.648918964353555e-07,0.0007686478808427627,0.8168788175195347,0.9705882352941176
Gradient Boosting,5.710451057795317e-07,0.0006065257081100733,0.8632872756171657,0.9705882352941176
ANN,0.02533393335527264,0.1392585169147209,-6064.14444004298,0.9705882352941176
Ensemble,4.367275309925255e-07,0.0005167591793393912,0.8954439676118542,0.9705882352941176
