Model,MSE_Full,MAE_Full,R2_Full,DA_Full,MSE_Limited,MAE_Limited,R2_Limited,DA_Limited,MSE_Improvement,MAE_Improvement,R2_Improvement,DA_Improvement
RandomForest,3.4768372983255125e-06,0.0014766414205306055,0.7289150276926928,0.9733333333333334,3.6373639898422983e-06,0.0014841127587677944,0.7163989477066177,0.9733333333333334,4.413269938479419,0.5034211984938456,1.7470824079435552,0.0
XGBoost,2.4167862445664494e-06,0.0011998290081353634,0.8115659790878028,0.9733333333333334,1.9147760974757258e-06,0.001008644751253248,0.8507071281106856,0.9733333333333334,-26.21769447365309,-18.954568161343996,-4.601013407494351,0.0
Linear,2.235160720572589e-05,0.0040661132298823646,-0.7427288942471326,0.9866666666666667,1.4043822698234264e-05,0.003350240794746359,-0.09498057015008943,0.96,-59.156147766919375,-21.36779052594048,-681.9798228979502,2.7777777777777843
