Model,MSE,MAE,R²,Directional Accuracy
Ensemble,1.5149044773967656e-06,0.0009963989557617919,0.8818846546253112,0.96
Random Forest,1.6866406418567425e-06,0.0010427147142476356,0.8684945850326911,0.96
XGBoost,1.9707857052946836e-06,0.0010904572001724,0.8463401239394355,0.96
ARIMA,3.708323756503907e-05,0.005268089343050757,-1.8913370301294843,0.52
LSTM,0.0004686709238954608,0.019683231328595382,-30.46048901613697,0.7540983606557377
